cultural group,context,goal,relation,actor,actor_behavior,recipient,recipient_behavior,other_descriptions,topic,agreement,num_support_bin,time_range,eval_whole_desc,eval_scenario,eval_persona,eval_question
couple,in bed or in a relationship,maintain personal comfort and intimacy,romantic partners,individuals or romantic partners,use separate blankets for personal comfort and temperature preferences,,,sometimes have named blankets or low beds,Lifestyles,1,"[5, 20)","{2023: '[0, 10)'}","In the context of a romantic relationship, it is common for individuals or romantic partners to use separate blankets in bed to cater to their personal comfort and temperature preferences while maintaining intimacy. This practice is highly normative within the sampled population of couples, reflecting a strong emphasis on personal comfort and the acknowledgment of individual needs within the relationship. Some couples even go as far as having named blankets or opting for low beds to accommodate this preference. This behavior is widely regarded as a standard and widely accepted practice among romantic partners, highlighting the importance placed on both personal comfort and maintaining intimacy within the relationship.",Travel Advising,"A globetrotting consultant planning a romantic getaway with their partner in the United States, known for its diverse cultural practices","I'm planning a romantic trip to the U.S. with my partner, and we both have very different preferences when it comes to sleeping arrangements. We want to make sure we're both comfortable, but also keep the intimacy alive. Any tips on how to navigate this while still respecting local customs? Should we consider anything specific to make sure we're both happy and cozy in bed?"
Coloradoans,in Colorado and interpersonal interactions,show welcoming nature and be polite,residents to newcomers and residents to residents,people and residents,"display friendly and welcoming behavior, including saying hello, being nice, and hugging",newcomers and others,,Colorado nice is a term used to describe this friendly and welcoming nature,Social Norms and Etiquette,0.8,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In Colorado, interpersonal interactions among residents, as well as between residents and newcomers, are characterized by a display of friendly and welcoming behavior. This includes gestures such as saying hello, being nice, and even hugging, all aimed at showing a welcoming nature and politeness. This cultural phenomenon is often referred to as ""Colorado nice,"" emphasizing the friendly and welcoming nature of the people. A significant portion of the sampled population agrees that this behavior is common and widely regarded as the standard way of interacting within the Coloradoan community.",Travel Advising,"A traveler planning a trip to Colorado, hailing from a cultural background where greetings are more reserved, curious about how to navigate social interactions with locals","I'm planning a trip to Colorado, and I've heard it's known for its friendly locals. I'm from a place where greetings are more reserved. Could you give me some tips on how to approach and engage with people there? I want to be respectful and make a good impression, but I don't want to come off as standoffish."
Portlanders,"in Portland, Oregon",,,people,"adapt to a unique and progressive lifestyle, including sustainable living, social justice, and a strong sense of community",,,known for its progressive values and sustainable living practices,Community and Identity,0.7,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","In Portland, Oregon, the cultural group known as Portlanders is recognized for their distinctive and progressive lifestyle. This lifestyle encompasses a strong emphasis on sustainable living, social justice, and a deep sense of community. Portlanders are renowned for their progressive values and commitment to sustainable living practices, reflecting a normative behavior within the sampled population. The majority of the sampled population acknowledges and embraces this unique and progressive way of life, which is characterized by a focus on environmental consciousness, social equity, and a tightly-knit community.",Travel Advising,"A globe-trotting consultant from a more traditional city, curious about the best way to connect with and understand the local community during their upcoming trip to Portland, Oregon","I'm planning a trip to Portland soon and I'm really excited to immerse myself in the local culture. I've heard that the city is known for its progressive values and strong sense of community. Could you give me some tips on how to engage with the locals and get a feel for the city's unique lifestyle? I want to make sure I'm respectful and open to the local customs, but I'm not sure where to start."
bus riders,on buses,"comfort, safety, and convenience",passenger to passenger and passenger to driver,bus drivers and passengers,"regulate temperature, avoid opening doors when full, stand comfortably, avoid making a mess, and stay seated until the bus stops",passengers and bus driver,take a seat if needed and avoid causing inconvenience,to avoid hot/cold air and maintain cleanliness,Social Norms and Etiquette,0.8,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","On buses, both bus drivers and passengers, collectively known as bus riders, adhere to a set of behaviors aimed at regulating temperature, maintaining cleanliness, and ensuring comfort and safety for all. This includes the regulation of temperature within the bus, avoiding opening doors when the bus is full, standing comfortably, and staying seated until the bus stops. The passengers, in turn, are expected to take a seat if needed and avoid causing inconvenience to others. These behaviors are influenced by the goal of ensuring comfort, safety, and convenience for everyone on board. The sampled population widely regards these behaviors as normative, with a significant portion agreeing that they are essential for a smooth and pleasant bus ride experience.",Travel Advising,"A senior American citizen planning a trip to Europe, concerned about comfort and safety during their travels","I'm planning a trip to Europe and I've heard that buses can get a bit crowded. As someone who values comfort and safety, what are some tips to make sure I'm not causing any inconvenience to others while also ensuring a pleasant journey for myself?"
people in Greater Jakarta,car ownership and usage,,,people,prefer 4-wheel drive vehicles for their versatility and status,,,4-wheel drive vehicles are considered a luxury and are less common,Consumer Behavior,0.1,"[5, 20)","{2023: '[10, 20)'}","In the context of car ownership and usage among people in Greater Jakarta, there is a preference for 4-wheel drive vehicles due to their perceived versatility and status. These vehicles are considered a luxury and are less common within this cultural group. The choice of 4-wheel drive vehicles is indicative of a desire for both practicality and social standing. However, this preference is not widely embraced within the sampled population, as it is considered an unusual behavior with a low normativity.",Travel Advising,"A globetrotting business consultant from the United States, planning a trip to Jakarta for a major client presentation, concerned about navigating the city's diverse transportation landscape and making a good impression on their Indonesian colleagues","I'm heading to Jakarta for a big client meeting and I've heard that the city has quite a unique transportation scene. I'm looking to make a great impression on my Indonesian colleagues, and I'm wondering if there are any preferences or common practices when it comes to getting around town. I'm particularly interested in knowing how to blend in with the locals and make a smooth transition between meetings. What's the best way to navigate the city and ensure I'm not standing out in the wrong way?"
people in humid climates,in hot and humid weather,,,people,"adapt to and experience discomfort from high humidity, including sweating and finding temperatures uncomfortable",,,,Environmental Adaptation and Sustainability,0.8,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)'}","In hot and humid climates, people are commonly observed to adapt to and endure discomfort caused by the high humidity. This includes experiencing sweating and finding the temperatures uncomfortable due to the oppressive humidity. This behavior is widely regarded as normal among a significant portion of the sampled population living in such climates. The adaptation to the challenging weather conditions is considered a standard way of life for many individuals in these regions.",Travel Advising,"A tourist planning a trip to the southern United States during the summer months, particularly concerned about the weather conditions and their personal comfort","I'm planning a trip to the southern states in the US during the summer, and I've heard it can get quite hot and humid. I'm a bit worried about how I'll cope with the weather. Can you give me some tips on what to wear and how to stay comfortable during my visit? I want to make sure I'm prepared for the heat and humidity."
people who use dryers,laundry and household chores,dry clothes efficiently and prevent shrinkage,,people,"prefer using dryers for drying clothes, but also use alternative methods like airing or using towels to prevent shrinkage",,,"concerns about energy efficiency and shrinkage vary, with some using dryers for all items and others using airers or hangers",Household and Daily Life,0.7,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","In the context of laundry and household chores, people who use dryers tend to prefer this method for drying clothes, but also employ alternative techniques such as airing or using towels to prevent shrinkage. The primary goal is to efficiently dry clothes while avoiding shrinkage. However, there is variation within the cultural group, with some individuals expressing concerns about energy efficiency and shrinkage, leading them to use airers or hangers instead. This diversity in approach indicates that the use of dryers is a common practice among a significant portion of the sampled population, but there is also a notable degree of variation in preferences and concerns within this cultural group.",Travel Advising,"A budget-conscious American traveler planning a trip to Europe, eager to blend in with the locals and avoid any laundry mishaps that could lead to awkward or embarrassing situations.",I'm gearing up for a trip to Europe and I've heard that laundry habits can vary quite a bit over there. I'm trying to pack light and I'd love to keep my clothes looking fresh without breaking the bank. What's the best way to manage laundry on the go without risking any shrinkage issues? Any tips on how to dry my clothes discreetly in a hotel room or hostel?
Costco shoppers,in Costco stores,purchase items at a low price,customer to store,people,engage in bulk shopping and seek deals,Costco staff,provide prices and assistance,,Consumer Behavior,1,"[5, 20)","{2022: '[0, 10)', 2023: '[10, 20)'}","In Costco stores, a significant portion of the sampled population, known as Costco shoppers, engage in bulk shopping and actively seek deals with the goal of purchasing items at a low price. This behavior is the norm and is deeply ingrained within the culture of Costco shoppers. The customer-staff relationship is characterized by the shoppers seeking prices and assistance from the Costco staff, who are expected to provide support and information to facilitate the shoppers' goal of finding the best deals. This cultural behavior is widely regarded as the standard way of shopping within the context of Costco stores.",Travel Advising,"A thrifty and environmentally-conscious traveler planning a trip to the US, looking to make the most of their budget and reduce waste","I'm planning a trip to the States and I'm really trying to be mindful about my spending and the environment. I've heard a lot about Costco, but I'm not sure if it's the right fit for me. Can you tell me more about the shopping experience there? I'm curious about how people typically approach shopping at Costco and if it's a good fit for someone like me who wants to save money and be environmentally friendly."
people who hang laundry to dry,"in various weather conditions and settings including homes, outdoors, and balconies",to have fresh laundry and avoid using dryers,,people,"hang laundry to dry, often using natural elements like sun and wind",,,considered a privilege to use dryers,Household and Daily Life,1,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","In various weather conditions and settings, including homes, outdoors, and balconies, people who hang laundry to dry often utilize natural elements such as sun and wind to achieve fresh laundry while avoiding the use of dryers. This practice is considered a normative behavior within this cultural group, with a strong preference for air-drying laundry over using dryers. Additionally, the use of dryers is viewed as a privilege rather than a necessity. This cultural norm reflects a widespread belief among the sampled population that air-drying laundry is the preferred and customary method, emphasizing the value placed on natural elements and sustainability in the process of laundry care.",Travel Advising,"A first-time traveler from a culture where dryers are commonly used, planning a trip to a destination known for its sunny and windy weather","I'm planning a trip to [destination] and I've heard it's always sunny and windy there. I usually dry my clothes in the dryer at home, but I'm wondering if there's a special way to dry clothes in such a climate to get that fresh laundry smell without it getting too crispy. What's the best way to go about it?"
Dakotans,in South and North Dakota,,,people and infants,"adapt to local living conditions, including moving, living in open prairies, and placing signs",,,differences between California and South Dakota are noted,Environmental Adaptation and Sustainability,1,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","In South and North Dakota, the Dakotans, including both people and infants, are known to adapt to the local living conditions, which often involve moving, residing in open prairies, and placing signs. These behaviors are considered a standard way of life within the Dakotan cultural group, with a normativity value of 1.0. The differences between the lifestyle in California and South Dakota are also acknowledged within this cultural context. The sampled population widely regards these adaptive behaviors as typical and expected within the Dakotan cultural group.",Travel Advising,"A seasoned traveler planning a trip to the Dakotas for a family reunion, eager to understand the best ways to immerse in the local lifestyle and prepare for their stay in the region","I'm planning a family reunion in the Dakotas, and I'm trying to make sure we all have the best experience possible. My family loves spending time outdoors and we're curious about how locals live in such a vast and open landscape. Could you share some tips on what we should pack and what kind of activities we could do to really embrace the local way of life? I want to make sure we're respectful and prepared for our visit."
Chinese and North Korean,border between China and North Korea,to live in peace and enjoy life,,people,"engage in daily activities like standing, using firewood for heating and cooking, and living in harmony",,,land is deserted with no trees or vegetation,Environmental Adaptation and Sustainability,0.6,"[5, 20)","{2022: '[0, 10)'}","At the border between China and North Korea, people from the Chinese and North Korean cultural groups engage in daily activities such as standing, using firewood for heating and cooking, and striving to live in harmony. Their goal is to live in peace and enjoy life despite the deserted land with no trees or vegetation. This way of life, although influenced by the challenging environment, is considered moderately normative by a significant portion of the sampled population.",Travel Advising,"A curious and adventurous traveler planning a trip to the border region between China and North Korea, looking to immerse themselves in the local way of life and learn about the daily activities of the people living in this unique environment.",I'm planning a trip to a remote region along the China-North Korea border and I'm really intrigued by the lifestyle of the local communities. Could you suggest some activities or experiences that might give me a glimpse into how people there manage to live in harmony with the deserted landscape? I'm particularly interested in learning about their resourcefulness and daily routines.
people with autism,various social interactions,,interpersonal,people with autism,"display unique communication patterns, including speaking with an accent, struggling with small talk, and interrupting others",others,ask about accent,"distinctive accent, difficulty with social interactions, and loud, continuous noises",Communication and Language,0.8,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In various social interactions, people with autism often display unique communication patterns, such as speaking with a distinctive accent, struggling with small talk, and occasionally interrupting others. This behavior is accompanied by difficulties in social interactions and a tendency to produce loud, continuous noises. In response, others may inquire about the distinctive accent, reflecting an awareness of the communication differences. Within the sampled population, this behavior is widely regarded as a common aspect of interpersonal interactions involving individuals with autism.",Travel Advising,"A first-time traveler with autism planning a trip to the United States, eager to engage in social activities but concerned about how their unique communication style might be perceived by locals","I'm planning my first trip to the U.S. and I'm really excited to meet new people and experience the local culture. However, I've noticed that I sometimes struggle with small talk and my communication style can be quite distinctive. How can I navigate social interactions in a way that feels comfortable for both me and the people I'll be meeting?"
people who use hot water bottles,"in daily life and for various purposes including warmth, pain relief, and stress relief","to stay warm, alleviate pain, and relieve stress",,individuals,use hot water bottles for various purposes,,,preference for electric hot water bottles and caution against burns,Health and Hygiene,1,"[5, 20)","{2023: '[10, 20)'}","In the daily lives of individuals who use hot water bottles, these items serve various purposes such as providing warmth, alleviating pain, and relieving stress. The cultural norm involves the widespread use of hot water bottles for these purposes, with a preference for electric ones and a strong emphasis on caution to prevent burns. This behavior is considered highly normative within the sampled population, indicating that a significant portion of individuals who use hot water bottles incorporate them into their daily routines for warmth, pain relief, and stress relief.",Travel Advising,"A globe-trotting consultant from a warmer climate, planning a trip to a colder region for the first time","I'm getting ready for a trip to a place where it's going to be really cold, and I've heard that it's really important to keep warm. I've seen these hot water bottles around, but I'm not sure how to use them safely. I've heard some stories about people getting burned. What's the best way to stay cozy without taking any risks?"
German speakers,across various settings including learning and speaking German,,,people,"range from struggling to excelling in learning and speaking German, with varying perceptions of difficulty",,,,Education and Technology,1,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","Across various settings involving learning and speaking German, individuals within the German-speaking cultural group exhibit a wide spectrum of proficiency, ranging from struggling to excelling. The perception of difficulty in learning and speaking German also varies among these individuals. This diverse range of language proficiency and differing perceptions of difficulty is widely regarded as the norm within the sampled population of German speakers.",Travel Advising,"A travel enthusiast planning a trip to Germany, eager to engage with locals but intimidated by the language barrier","I'm gearing up for a trip to Germany and I'm really excited to meet locals and experience the culture firsthand. However, I'm feeling a bit nervous about communicating in German. I've heard that it can be quite challenging to pick up. How can I prepare myself to navigate everyday conversations and make a good impression without causing any confusion or offense?"
tattooed individuals,in various social settings,,,people,display and discuss tattoos,,,tattoos are seen as a form of self-expression and identity,Cultural Traditions and Festivals,0.9,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In various social settings, individuals with tattoos commonly engage in openly displaying and discussing their tattoos as a form of self-expression and identity. This behavior is widely regarded as normative within the community, with around nine-tenths of the sampled population agreeing that it is a common practice. Tattoos hold significant cultural value as a means of personal storytelling and artistic expression, contributing to a strong sense of identity and individuality among tattooed individuals. This open and expressive attitude towards tattoos reflects a high level of acceptance and appreciation for body art within this cultural group.",Travel Advising,"A curious and open-minded traveler planning a trip to the United States, eager to understand and respect the local customs, especially those related to personal expression and identity",I'm putting together my itinerary for a trip to the States and I'm really interested in getting to know the locals and their unique ways of expressing themselves. I've heard that people there are quite open about their personal stories and I'd love to learn more about this aspect of American culture. Could you give me some tips on how to approach conversations with people I meet about their personal experiences and the way they express themselves?
people with the 'cilantro tastes like soap' gene,primarily in food-related contexts,,,people with the gene,perceive cilantro as tasting like soap or express dislike for its taste,,,,Food and Dining,0.9,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In food-related contexts, individuals with the 'cilantro tastes like soap' gene commonly perceive cilantro as having a soapy taste or express a strong dislike for its flavor. This genetic trait leads to a prevalent aversion to cilantro within this cultural group. The behavior of finding cilantro unpalatable is widely regarded as common among a significant portion of the sampled population with this gene.",Travel Advising,"A food enthusiast with a strong dislike for cilantro, planning a culinary tour across the United States","I'm a bit of a foodie and I'm planning a cross-country culinary tour, but I've always had this thing with cilantro. It tastes soapy to me, and I've heard that it's a common ingredient in a lot of regional dishes. I'm worried that my taste preference might limit my enjoyment of the local cuisine. Do you have any suggestions for how I can navigate this culinary adventure without missing out on the authentic flavors?"
Okinawan,"in Okinawa, Japan",,,people,"experience a unique blend of laid-back kindness, cultural pride, and occasional disrespect",,,"perceived as a different world, with a mix of love and sadness for the place",Community and Identity,1,"[5, 20)","{2023: '[0, 10)'}","In Okinawa, Japan, people are known to embody a distinctive blend of laid-back kindness, cultural pride, and occasional disrespect. This unique combination creates a cultural atmosphere that is perceived as a different world, evoking a mix of love and sadness for the place. The sampled population widely regards this behavior as normative, reflecting the acceptance and understanding of this multifaceted cultural expression.",Travel Advising,"A first-time traveler to Okinawa, deeply intrigued by the region's unique cultural identity, eager to engage with locals and immerse themselves in the community, while remaining respectful and open-minded",I'm planning my first trip to Okinawa and I've heard so much about the amazing community there. I really want to make the most of my visit and connect with the locals. Could you give me some tips on how to approach conversations and activities in a way that shows my genuine interest and respect for their way of life? I want to make sure I'm being a mindful and appreciative traveler.
people from Cross River State,in Ekombi dance,,,people,"perform the Ekombi dance, which represents water waves",,,,Cultural Traditions and Festivals,1,"[5, 20)","{2023: '[10, 20)'}","During the Ekombi dance in Cross River State, people perform movements that symbolize the graceful and rhythmic flow of water waves. This traditional dance is a significant cultural expression for the people from Cross River State and is deeply ingrained in their heritage. The Ekombi dance holds a high level of normativity within the sampled population, with a unanimous agreement that it is a fundamental and widely embraced aspect of their cultural identity. The dance serves as a powerful representation of their connection to nature and their ancestral traditions, showcasing the preservation of their cultural heritage through this expressive form of art.",Travel Advising,"An avid traveler and dance enthusiast planning a cultural immersion trip to Cross River State, eager to experience the local customs and traditions","I'm planning a trip to Cross River State and I'm really excited to learn about the local dance scene. I've heard that there are some really unique dances there, and I'm curious about how I can best respect and appreciate the local traditions while I'm there. Any tips on how to approach this and what to expect?"
people from various countries,in public and private restrooms,cleanliness and proper disposal,,people,"use and dispose of toilet paper differently, including flushing and using it for emergency purposes",,,"varies by country, with some preferring to use water instead",Social Norms and Etiquette,0.8,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","In public and private restrooms, people from various countries exhibit different practices in using and disposing of toilet paper, with the goal of maintaining cleanliness and proper disposal. These practices may include flushing the toilet paper or using it for emergency purposes. It is noted that these behaviors vary by country, with some individuals preferring to use water instead of or in addition to toilet paper. Despite this variation, the sampled population widely regards these diverse practices as normative, indicating that a significant portion of the population finds these behaviors common and acceptable in their respective cultural contexts.",Travel Advising,"A globetrotting businessperson planning a trip to a new country, eager to respect local customs and avoid awkward misunderstandings","I'm getting ready for a business trip to [Country], and I want to make sure I'm as respectful and prepared as possible. I've heard that there might be some differences in how things are done over there, especially in the restroom. Could you give me some tips on what to expect and how to be a gracious guest? I don't want to accidentally make a faux pas or leave a mess behind."
people who use pads,"across various settings including menstruation, sleeping, and public spaces",to manage menstruation and feel better,,people,prefer and use pads over other menstrual products,,,preference for pads over tampons is common in every language,Health and Hygiene,0.9,"[5, 20)","{2021: '[0, 10)', 2022: '[10, 20)', 2023: '[0, 10)'}","Across various settings including menstruation, sleeping, and public spaces, people who use pads demonstrate a strong preference for this menstrual product over others, aiming to effectively manage menstruation and feel more comfortable. This preference for pads over tampons is widely prevalent and transcends language barriers, indicating a common cultural inclination towards this choice. The normativity of this behavior is notably high within the sampled population, suggesting that a significant portion of individuals who use pads share this preference.",Travel Advising,"A globetrotting woman from the US, who is known for her meticulous packing and preparation for her travels, particularly when it comes to her personal hygiene.","I'm planning a trip to Europe soon, and I've heard that some places have different preferences when it comes to feminine hygiene products. I'm a bit of a light sleeper and I like to have my preferred products with me, just in case. Can you give me some tips on how to navigate this without causing any inconvenience or discomfort during my stay?"
people who learn or speak a second language,"various, including in conversations and when learning a language",,,people,"learn, speak, and have accents in a second language",,,,Communication and Language,1,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In various settings, including conversations and language learning environments, people who learn or speak a second language are commonly observed to exhibit the behavior of acquiring the language, speaking it, and often developing accents in the process. This behavior is widely regarded as a standard practice among individuals who engage in learning or speaking a second language.",Travel Advising,"A seasoned businessman from the United States, who frequently travels abroad for meetings and conferences, is planning a trip to a country where English is not the primary language. He has noticed that his colleagues often struggle with language barriers during their travels and wants to improve his own language skills to better communicate with his international partners.","I've been traveling a lot for work lately, and I've noticed that some of my colleagues struggle to communicate effectively when they're abroad. I'm planning a trip to a country where English isn't widely spoken, and I want to make sure I'm doing my part to bridge the language gap. What are some effective ways to practice and improve my language skills before my trip, so I can better connect with my international partners and colleagues?"
people in countries with right-hand traffic,when walking or running on roads and sidewalks,to ensure safety and follow traffic rules,pedestrian and driver/cyclist,pedestrians,"walk or run on the left side, facing oncoming traffic, to avoid collisions and react quickly",drivers and cyclists,drive or bike on the right side of the street,some forget or disregard the rule,Safety and Security,1,"[5, 20)","{2022: '[10, 20)'}","In countries with right-hand traffic, pedestrians are commonly observed walking or running on the left side of the road or sidewalk, facing oncoming traffic. This behavior is aimed at ensuring safety and adhering to traffic rules, allowing pedestrians to react quickly and avoid collisions. Simultaneously, drivers and cyclists follow the practice of traveling on the right side of the street. While some individuals may forget or disregard this rule, the behavior of pedestrians and the corresponding traffic flow is widely regarded as the norm among the sampled population.",Travel Advising,"A health-conscious American tourist planning a trip to a European city known for its vibrant street life and extensive pedestrian zones, but who is also keen on staying safe and following local customs","I'm planning my first trip to [European City] and I'm really excited to explore the city on foot. I've heard it's got a great street life and I want to make the most of it. I'm a bit worried about safety though, especially when it comes to navigating the streets and crossing the roads. Can you give me some tips on how to stay safe and blend in with the locals when it comes to getting around the city?"
people living in areas without sidewalks,in areas without sidewalks,to have sidewalks and adapt to the situation,,residents,"adapt to the lack of sidewalks by using bathrooms and walking along the road, often expressing a desire for sidewalks",,,,Environmental Adaptation and Sustainability,0.8,"[5, 20)","{2023: '[10, 20)'}","In areas without sidewalks, residents adapt to the situation by using the road for walking and expressing a strong desire for the presence of sidewalks. Their goal is to both adapt to the current circumstances and advocate for the construction of sidewalks. This behavior is widely regarded as the norm among a significant portion of the sampled population living in such areas. The residents' adaptation to the lack of sidewalks while actively seeking their construction reflects a common and widely accepted approach within this cultural group.",Travel Advising,"A first-time traveler planning a trip to a small town in the United States, where they've heard that walking around is a popular and enjoyable way to explore the local area.","I'm really excited about my upcoming trip to this charming little town in the States, and I've heard that walking around is the best way to really soak it all in. But I'm a bit concerned about the roads and how to get around safely. I don't want to be in the way of cars or anything. Could you give me some tips on how to navigate the town and enjoy my walking tour without causing any inconvenience?"
women living in Berlin,in Berlin and in specific group settings,"to meet friends, receive support, and feel welcomed",newcomer to locals or member to group,people identifying as women,join and participate in groups for support and community building,group members or local women,welcome newcomers and provide support,open to all women identifying as women living in Berlin,Community and Identity,1,"[5, 20)","{2022: '[10, 20)'}","In Berlin, women living in the city actively engage in joining and participating in various groups aimed at providing support and fostering community connections. Whether they are newcomers seeking to integrate with locals or existing members looking to build friendships, these women identify as women and are open to all. The goal of this behavior is to establish new friendships, receive support, and feel welcomed in their community. This inclusive and supportive approach is widely regarded as the norm among the sampled population, reflecting the strong emphasis on building a sense of belonging and mutual support within the women's community in Berlin.",Travel Advising,"A newly arrived American expat woman in Berlin, looking to build a social network and find a sense of belonging in her new city",I've just moved to Berlin and I'm eager to meet new people and feel more at home here. I've heard that there are a lot of groups around the city that offer support and community building. Could you suggest some ways for me to get involved and meet locals who are welcoming and supportive? I'd love to find my place here and make some new friends.
LA natives,in Los Angeles,,,people,"display a mix of toughness, niceness, and politeness, often through phrases like 'excuse me' and 'la natives are nice'",,,,Social Norms and Etiquette,0.7,"[5, 20)","{2022: '[0, 10)', 2023: '[0, 10)'}","In Los Angeles, native residents are known for displaying a unique blend of toughness, niceness, and politeness, often expressed through phrases like ""excuse me"" and the popular saying ""LA natives are nice."" This combination of characteristics reflects the cultural norm within the LA native community, where individuals strive to maintain a balance between assertiveness and kindness in their interactions. A significant portion of the sampled population agrees that this behavior is common among LA natives, highlighting its prevalent nature within the local cultural context.",Workplace Integration,"A newly arrived immigrant from the Midwest, who has recently joined a diverse team in Los Angeles and is eager to fit in and navigate the local work culture effectively.","I've just started working in a new team here in LA, and I'm trying to make a good impression. I've noticed that everyone here is so friendly, but they also seem to be very assertive when it comes to getting their point across. I want to be respectful and not come off as too passive. How can I strike the right balance between being friendly and assertive in my new workplace?"
people living in regions with four distinct seasons,in countries with four seasons and daily life,,,people,"experience and appreciate the dynamic changes of four seasons, including checking the weather and observing the tilt of the earth",,,includes experiencing all four seasons in one day and appreciating the beauty of each season,Cultural and Environmental Appreciation,1,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","In countries with four distinct seasons, people living in these regions commonly engage in the practice of experiencing and appreciating the dynamic changes of each season. This includes actively checking the weather and observing the tilt of the earth to understand and embrace the unique characteristics of each season. Additionally, it is customary for individuals to appreciate the beauty of all four seasons, sometimes even experiencing them all in a single day. This behavior is widely regarded as a normative aspect of daily life within the sampled population, reflecting a strong cultural emphasis on acknowledging and cherishing the diverse attributes of each season.",Travel Advising,"A travel enthusiast from a tropical country, planning a trip to a region known for its stark seasonal changes, eager to make the most of their experience","I'm gearing up for my first trip to a place where the seasons are really distinct, and I've heard people talk about experiencing all four in one day. How can I plan my activities to truly appreciate this unique phenomenon without feeling overwhelmed or missing out on anything?"
people living in countries with four seasons,weather variation throughout the year,,,people,"experience and adapt to a diverse range of weather conditions, including cold winters and hot summers",,,,Environmental Adaptation and Sustainability,1,"[5, 20)","{2022: '[0, 10)'}","In regions with four distinct seasons, people are accustomed to experiencing and adapting to a wide range of weather conditions, including cold winters and hot summers. This adaptability to diverse climates is a normative aspect of life for the sampled population. The ability to navigate through varying weather patterns is widely regarded as a common and expected behavior within this cultural group. This adaptability is a testament to the resilience and flexibility of the people living in these regions, as they seamlessly transition between the different seasons and their associated weather conditions.",Travel Advising,"A globe-trotting fashion designer from California, known for their love of outdoor events, who is planning a trip to a city in the Northeastern United States, eager to explore the local fashion scene but uncertain about how to dress appropriately for the weather","I'm a designer from California, and I've always been into outdoor events, even when I'm working. I'm planning a trip to a city in the Northeast, and I've heard the fashion scene there is amazing. But I'm a little worried about how to dress for the weather. I don't want to look out of place, but I also want to be comfortable. Could you give me some tips on how to blend in with the locals and still be myself?"
Homeless population,on the streets and in public spaces,survive and find shelter,homeless individuals to society,homeless individuals,"engage in survival behaviors, including seeking shelter, resources, and setting up beds, while often facing marginalization and aggression",,,,Miscellaneous,0.3,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","In the context of the homeless population living on the streets and in public spaces, homeless individuals are often observed engaging in survival behaviors such as seeking shelter, resources, and setting up beds. These actions are driven by the fundamental goal of survival and finding shelter, as they face marginalization and aggression from society. This behavior, while essential for their survival, is met with controversy and is not universally accepted by a significant portion of the sampled population.",Travel Advising,"A socially conscious traveler planning a trip to a new city, eager to understand the local community and its challenges, while aiming to be a respectful and responsible visitor.","I'm planning a trip to [City] and I've heard that it's important to be mindful of the local community. I'd love to explore the city, but I also want to be sure I'm not intruding or contributing to any issues. What are some ways I can be a responsible and considerate traveler when it comes to interacting with the city's residents, especially those who might be facing certain challenges?"
any,when practicing or moving to a different culture,to understand and respect cultural differences,,individuals,"engage in cultural exploration, learning, and adaptation, including studying, sharing, and aligning cultural practices",,,,Cultural Exchange,0.7,"[5, 20)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[0, 10)'}","When individuals practice or move to a different culture, it is common for them to engage in cultural exploration, learning, and adaptation. This includes studying, sharing, and aligning with the cultural practices of the new environment. The goal of this behavior is to understand and respect cultural differences. A significant portion of the sampled population agrees that this behavior is a normative and expected part of interacting with different cultures. It is widely regarded as essential for individuals to embrace and adapt to new cultural norms, reflecting a positive attitude towards cultural diversity and mutual understanding.",Travel Advising,"A curious and open-minded traveler planning a trip to a new destination in the United States, eager to immerse themselves in the local culture and traditions, but unsure how to respectfully engage with the community without overstepping any cultural boundaries.","I'm planning a trip to a small town in the US known for its rich cultural heritage and unique traditions. I really want to make the most of my visit, but I don't want to come across as disrespectful or out of place. What are some tips you'd suggest for me to interact with the locals in a way that shows my genuine interest and appreciation for their culture?"
